clothing_id,clothing_type,size,gender,color,brand,description,image_url,aesthetic,store_name
NULL,sweatshirt,S ,W,black ,WIDE WORLD SPORTSWEAR,orange & black 1891 bar hoodie,,casual,Caltech
NULL,pants,6,W,black ,Lululemon,black high rise align leggings,,athleisure,Lululemon
NULL,socks,OS,W,white ,Adidas,white no-show sock,,,
NULL,shoes,6.5,W,Raw Linen/Highlight Yellow/Iced Lavender,Lululemon,,"https://images.lululemon.com/is/image/lululemon/LW9EPYS_061867_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,shoes,6.5,W,Raw Linen/Highlight Yellow/Iced Lavender,Lululemon,,"https://images.lululemon.com/is/image/lululemon/LW9EPYS_061867_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,shoes,7,W,Raw Linen/Highlight Yellow/Iced Lavender,Lululemon,,"https://images.lululemon.com/is/image/lululemon/LW9EPYS_061867_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,shoes,6.5,W,White/White/Light Vapor,Lululemon,,"https://images.lululemon.com/is/image/lululemon/LW9EPYS_061867_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,shorts ,4,W,Powder Blue,Lululemon,"4""","https://images.lululemon.com/is/image/lululemon/LW7AYXT_058302_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,shorts ,4,W,Black ,Lululemon,"4""","https://images.lululemon.com/is/image/lululemon/LW7AYXT_0001_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,pants,12,W,Symphony Blue,Lululemon,"Swift Speed High-Rise Tight 25""","https://images.lululemon.com/is/image/lululemon/LW5DXZS_049229_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
NULL,shirt,8,W,Ripple Wave Wild Indigo/Sonic Pink,Lululemon,Swiftly Relaxed Long-Sleeve Shirt,"https://images.lululemon.com/is/image/lululemon/LW3GNTS_061322_1?wid=1600&op_usm=0.5,2,10,0&fmt=webp&qlt=80,1&fit=constrain,0&op_sharpen=0&resMode=sharp2&iccEmbed=0&printRes=72",athleisure,Lululemon
